datetime,timestamp_desc,source,source_long,message,parser,display_name,tag
2020-09-10T22:52:44.617849+00:00,Creation Time,EVT,WinEVTX,[4689 / 0x1251] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  '0x00000000'  '0x00000000000014f4'  'C:\Windows\System32\RuntimeBroker.exe'] Computer Name: Mikhail-Laptop Record Number: 3 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
2020-09-10T22:52:47.950076+00:00,Creation Time,EVT,WinEVTX,[4688 / 0x1250] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  '0x00000000000008a8'  'C:\Program Files\Mozilla Firefox\firefox.exe'  '%%1938'  '0x0000000000001980'  'S-1-0-0'  '-'  '-'  '0x0000000000000000'  'C:\Windows\explorer.exe'  'S-1-16-8192'] Computer Name: Mikhail-Laptop Record Number: 18 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
2020-09-10T22:52:47.961025+00:00,Creation Time,EVT,WinEVTX,[4690 / 0x1252] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  '0x0000000000004464'  '0x0000000000001980'  '0x0000000000004430'  '0x0000000000000004'] Computer Name: Mikhail-Laptop Record Number: 19 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
2020-09-10T22:52:53.639000+00:00,Last Visited Time,WEBHIST,Firefox History,https://www.mozilla.org/privacy/firefox/ [count: 1] Host: www.mozilla.org (URL not typed directly) Transition: LINK,sqlite/firefox_history,-,-
2020-09-10T22:52:56.685000+00:00,Last Visited Time,WEBHIST,Firefox History,https://www.google.com/search?client=firefox-b-d&q=google+drive (google drive - Fittex bil-Google) [count: 1] Host: www.google.com (URL not typed directly) Transition: TYPED,sqlite/firefox_history,-,-
2020-09-10T22:54:50.732035+00:00,Creation Time,EVT,WinEVTX,[4658 / 0x1232] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  'Security'  '0x0000000000003b28'  '0x0000000000001c70'  'C:\Program Files\Mozilla Firefox\firefox.exe'] Computer Name: Mikhail-Laptop Record Number: 952 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
2020-09-10T22:55:22.710000+00:00,Last Visited Time,WEBHIST,Firefox History,https://drive.google.com/drive/ (Google Drive) [count: 1] Host: drive.google.com visited from: https://drive.google.com/drive/?utm_source=en (drive.google.com) (URL not typed directly) Transition: LINK,sqlite/firefox_history,-,-
2020-09-10T22:55:52.880000+00:00,Last Visited Time,WEBHIST,Firefox History,https://doc-08-10-docstext.googleusercontent.com/export/abatkoh75paus9j4hkfmi2klgg/v45pfual5mh0dtg7e653hssaj0/1599778545000/112720484631900048031/112720484631900048031/1bT9jmJUmr-aGUgWCS9v5HExTTtbw9CXjGWCmPvqiI4M?format=docx&dat=AJ7Y-hSn7OCThTxyT654XSxQfMp_hP8Siz5RPcPok80pv8dE5n4Sn5GwrqMe6VTxmci2yMqWhDB6K2hNaq1RMfLBYIdA4bjKfBtMDBBoig-H6fJBk0jalYncRQjatwBj_UFKJD1W0b4HW8jyLaDHwzSHMe5AmftS_SjvD4UXob46QkyKsNIaa8SDm0xuT2aK5bbGdj7xVdYJhUjIwV7PHwNNnbP8CayHKRbbXZG2VKB9SaKxYGg9tcR9q4hZ3VtBsgitkRdiOYGno-1fu4qIouq5pxur4POwlrtXSXQK0pALVULGP5yB1Ium9aOYWgEGVkPXJVA_eiP4P_tbtCdZdMyEmkgtD11D1DOTh8aBpqprvcfeZWaJKMX_wGfFQOifs07xokU3ALANybFX78X571Qy350I_DDWeWRryQAkwnKg6a2hXPUaZa0TGIHC7BI83R1TYZLpfp1aAokgjsIFkwHw6neKUDBlLIViMoM6giMU3UkMkUEoLIAFL-sk_5PH2aHfyhQZtDgEgJ6XEA7y1dDFbUGmhv0BX7LhUIW-051IxX_9xl5l-b4KQQFUFsh04er1f279VBVi73AdvYRLksWjEuzGzYCVd9U4V3_P5WfbTEEccArFi40tWDqCQS89AJqPxKvSnJ8BupalrWz7semNYA5C5t2gyFQATMONUw (testFile(2).docx) [count: 0] Host: doc-08-10-docstext.googleusercontent.com visited from: https://drive.google.com/drive/my-drive (drive.google.com) (URL not typed directly) Transition: DOWNLOAD,sqlite/firefox_history,-,-
2020-09-10T22:56:11.338829+00:00,Creation Time,EVT,WinEVTX,[4689 / 0x1251] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  '0x00000000'  '0x00000000000037c4'  'C:\Program Files\Mozilla Firefox\pingsender.exe'] Computer Name: Mikhail-Laptop Record Number: 1661 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
2020-09-10T22:56:45.330099+00:00,Creation Time,EVT,WinEVTX,[4658 / 0x1232] Source Name: Microsoft-Windows-Security-Auditing Strings: ['S-1-5-21-560198549-2976288065-2928407696-1001'  'Mikhail'  'MIKHAIL-LAPTOP'  '0x0000000000095fb0'  'Security'  '0x0000000000000544'  '0x0000000000001980'  'C:\Windows\explorer.exe'] Computer Name: Mikhail-Laptop Record Number: 1811 Event Level: 0,winevtx,OS:/home/mikhail/Desktop/toyProjectLogs/securityLog.evtx,-
